"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";10;10;4879,90;4622,80;-;-;257,10;-;-;487,99;487,99;16;1,6;-;-
"110037 Alto Alegre dos Parecis";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110040 Alto Paraíso";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110034 Alvorada D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110002 Ariquemes";7;7;3378,33;3198,36;-;-;179,97;-;-;482,62;482,62;10;1,4;-;-
"110004 Cacoal";8;8;3953,52;3747,84;-;-;205,68;-;-;494,19;494,19;16;2,0;-;-
"110005 Cerejeiras";15;15;7387,85;7002,20;-;-;385,65;-;-;492,52;492,52;35;2,3;-;-
"110006 Colorado do Oeste";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;8;2,7;-;-
"110008 Costa Marques";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;9;2,3;-;-
"110094 Cujubim";2;2;961,74;902,94;-;-;58,80;-;-;480,87;480,87;2;1,0;-;-
"110010 Guajará-Mirim";4;4;2091,99;1936,51;-;-;155,48;-;-;523,00;523,00;11;2,8;-;-
"110011 Jaru";9;9;1401,27;1268,51;-;-;132,76;-;-;155,70;155,70;13;1,4;-;-
"110012 Ji-Paraná";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;5;1,7;-;-
"110013 Machadinho D'Oeste";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"110130 Mirante da Serra";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110140 Monte Negro";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;5;5,0;-;-
"110014 Nova Brasilândia D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110033 Nova Mamoré";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"110015 Ouro Preto do Oeste";2;2;966,38;914,96;-;-;51,42;-;-;483,19;483,19;4;2,0;-;-
"110018 Pimenta Bueno";4;4;1950,10;1847,26;-;-;102,84;-;-;487,52;487,52;5;1,3;-;-
"110020 Porto Velho";15;15;12241,72;11295,69;-;-;946,03;-;-;816,11;816,11;79;5,3;-;-
"110028 Rolim de Moura";4;4;2012,76;1909,92;-;-;102,84;-;-;503,19;503,19;12;3,0;1;25,00
"110149 São Francisco do Guaporé";2;2;966,38;914,96;-;-;51,42;-;-;483,19;483,19;4;2,0;-;-
"110032 São Miguel do Guaporé";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"120020 Cruzeiro do Sul";1;1;535,19;509,48;-;-;25,71;-;-;535,19;535,19;7;7,0;-;-
"120038 Plácido de Castro";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;5;2,5;-;-
"120039 Porto Walter";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;3;1,5;-;-
"120045 Senador Guiomard";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;7;3,5;-;-
"120060 Tarauacá";3;3;1509,57;1432,44;-;-;77,13;-;-;503,19;503,19;9;3,0;-;-
"120070 Xapuri";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"130050 Barreirinha";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;7;3,5;-;-
"130090 Canutama";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130100 Carauari";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"130120 Coari";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;3;3,0;-;-
"130130 Codajás";6;6;2875,14;2720,88;-;-;154,26;-;-;479,19;479,19;20;3,3;-;-
"130260 Manaus";99;99;57598,93;54132,68;-;-;3466,25;-;-;581,81;581,81;355;3,6;-;-
"130340 Parintins";4;4;1624,70;1521,06;-;-;103,64;-;-;406,18;406,18;14;3,5;-;-
"130350 Pauini";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130380 São Gabriel da Cachoeira";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;8;8,0;-;-
"130406 Tabatinga";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
