,Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade,data,NM_LOCALIDADE,LAT,LONG,ALT
0,110001 Alta Floresta D'Oeste,1,1,503.19,477.48,0.0,0.0,25.71,0.0,0,503.19,503.19,3,3.0,0,0.0,2018-01-01 00:01:00,ALTA FLORESTA D'OESTE,-11.9355403047646,-61.9998238962936,337.735719
1,110034 Alvorada D'Oeste,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-01-01 00:01:00,ALVORADA D'OESTE,-11.3441300234334,-62.2772748656972,182.40013
2,110002 Ariquemes,1,1,52.22,41.34,0.0,0.0,10.88,0.0,0,52.22,52.22,1,1.0,0,0.0,2018-01-01 00:01:00,ARIQUEMES,-9.9084628665672,-63.0332692780484,138.688981
3,110004 Cacoal,5,5,2476.95,2348.4,0.0,0.0,128.55,0.0,0,495.39,495.39,10,2.0,0,0.0,2018-01-01 00:01:00,CACOAL,-11.4338650286852,-61.4429442118224,177.453547
4,110005 Cerejeiras,3,3,1453.57,1376.44,0.0,0.0,77.13,0.0,0,484.52,484.52,6,2.0,0,0.0,2018-01-01 00:01:00,CEREJEIRAS,-13.1950330320399,-60.8184261646815,262.811307
5,110006 Colorado do Oeste,2,2,1061.61,957.55,0.0,0.0,104.06,0.0,0,530.8,530.8,8,4.0,0,0.0,2018-01-01 00:01:00,COLORADO DO OESTE,-13.1305638414553,-60.5550674630789,419.090613
6,110008 Costa Marques,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,0,0.0,0,0.0,2018-01-01 00:01:00,COSTA MARQUES,-12.4360138777142,-64.2316539391172,145.213903
7,110010 Guajará-Mirim,7,7,3394.33,3214.36,0.0,0.0,179.97,0.0,0,484.9,484.9,18,2.6,0,0.0,2018-01-01 00:01:00,GUAJARÁ-MIRIM,-10.7738837406705,-65.3239518196923,133.414381
8,110011 Jaru,2,2,1006.38,954.96,0.0,0.0,51.42,0.0,0,503.19,503.19,6,3.0,0,0.0,2018-01-01 00:01:00,JARU,-10.4359487678844,-62.4762307081317,162.551328
9,110014 Nova Brasilândia D'Oeste,3,3,1437.57,1360.44,0.0,0.0,77.13,0.0,0,479.19,479.19,11,3.7,0,0.0,2018-01-01 00:01:00,NOVA BRASILÂNDIA D'OESTE,-11.7213254138559,-62.308230163019,259.417475
10,110018 Pimenta Bueno,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,1,1.0,0,0.0,2018-01-01 00:01:00,PIMENTA BUENO,-11.67753699,-61.183665673642,186.174033
11,110020 Porto Velho,14,14,7794.82,7349.75,0.0,0.0,445.07,0.0,0,556.77,556.77,88,6.3,0,0.0,2018-01-01 00:01:00,PORTO VELHO,-8.76889179,-63.8314456543611,86.895415
12,110028 Rolim de Moura,2,2,1022.38,970.96,0.0,0.0,51.42,0.0,0,511.19,511.19,9,4.5,0,0.0,2018-01-01 00:01:00,ROLIM DE MOURA,-11.7222589133808,-61.7857809351854,226.711103
